layer,score,min,p25,median,p75,p90,p95,p99,max,zero_count,top_100_count
all,host,0.0,6.0,8.4,18.3,34.0,47.6,66.6,100.0,755,7
all,pollinator,0.0,0.0,0.0,6.7,17.3,27.2,51.8,95.8,3987,0
all,bird,0.0,0.0,0.0,0.0,0.0,1.5,35.2,69.6,5081,0
all,mammal,0.0,0.0,0.0,0.0,0.0,0.0,2.2,42.6,5308,0
all,other,0.0,0.0,0.0,0.0,0.0,0.0,13.6,64.7,5169,0
all,evidence,0.0,44.4,54.3,54.3,62.3,67.2,73.2,77.2,6,0
all,locality,0.0,20.0,20.0,23.5,28.2,78.0,98.6,100.0,6,29
all,overall,0.0,11.8,13.6,16.6,23.7,30.1,45.6,76.3,6,0
target_zone,host,0.0,25.6,39.8,52.6,67.8,83.0,100.0,100.0,11,7
target_zone,pollinator,0.0,0.0,12.2,35.1,50.3,58.4,80.9,95.8,112,0
target_zone,bird,0.0,0.0,0.0,1.5,35.2,35.7,44.2,69.6,218,0
target_zone,mammal,0.0,0.0,0.0,0.0,2.2,2.2,27.6,42.6,275,0
target_zone,other,0.0,0.0,0.0,2.8,13.6,18.5,36.4,58.0,236,0
target_zone,evidence,0.0,56.2,65.2,69.9,73.2,74.2,75.8,77.2,6,0
target_zone,locality,0.0,81.5,86.2,92.7,99.8,100.0,100.0,100.0,6,29
target_zone,overall,0.0,26.3,33.6,41.4,50.2,54.8,71.5,76.3,6,0
